Season,Team,Player Names
2001,AFC Sunderland,"['Thomas Sörensen', 'Michael Ingham', 'Jürgen Macho', 'Jon Kennedy', 'Stanislav Varga', 'Émerson Thome', 'Joachim Björklund', 'Jody Craddock', 'Simon Ramsden', 'Michael Gray', 'George McCartney', 'Bernt Haas', 'Darren Williams', 'Nicolás Medina', 'Paul Thirlwell', 'Claudio Reyna', 'Gavin McCann', 'Alex Rae', 'Stefan Schwarz', 'Chris Lumsdon', 'Julio Arca', 'Jason McAteer', 'Thomas Butler', 'Kevin Kilbane', 'Don Hutchison', 'Neil Wainwright', ""Patrick M'Boma"", 'Lilian Laslandes', 'Niall Quinn', 'Kevin Phillips', 'Danny Dichio', 'David Bellion', 'Kevin Kyle']"
2001,Ipswich Town,"['Mike Salmon', 'Andy Marshall', 'Keith Branagan', 'James Pullen', 'Matteo Sereni', 'Justin Miller', 'John McGreal', 'Hermann Hreidarsson', 'Mark Venus', 'Richard Naylor', 'Wayne Brown', 'Titus Bramble', 'Thomas Gaardsöe', 'Jamie Clapham', 'Chris Makin', 'Gary Croft', 'Amir Karic', 'Fabian Wilnis', 'Nabil Abidallah', 'Matt Holland', 'Jermaine Wright', 'Tommy Miller', 'Sixto Peralta', 'Jim Magilton', 'Ulrich Le Pen', 'Darren Ambrose', 'Martijn Reuser', 'Finidi George', 'Pablo Couñago', 'Alun Armstrong', 'Marcus Stewart', 'Darren Bent', 'Richard Logan', 'Marcus Bent']"
2001,FC Arsenal,"['Craig Holloway', 'David Seaman', 'Stuart Taylor', 'Richard Wright', 'Graham Stack', 'Martin Keown', 'Tony Adams', 'Matthew Upson', 'Sol Campbell', 'Igors Stepanovs', 'Stathis Tavlaridis', 'Kolo Touré', 'Ashley Cole', 'Giovanni van Bronckhorst', 'Juan', 'Lee Dixon', 'Laurén', 'Oleg Luzhnyi', 'Moritz Volz', 'Patrick Vieira', 'Gilles Grimandi', 'Junichi Inamoto', 'John Halls', 'Sebastian Svärd', 'Edú Gaspar', 'Freddie Ljungberg', 'Ray Parlour', 'Robert Pirès', 'Rohan Ricketts', 'Carlin Itonga', 'Jermaine Pennant', 'Dennis Bergkamp', 'Sylvain Wiltord', 'Francis Jeffers', 'Thierry Henry', 'Nwankwo Kanu', 'Jérémie Aliadière']"
2001,Bolton Wanderers,"['Steve Banks', 'Jussi Jääskeläinen', 'Kevin Poole', 'Jeff Cassar', 'Jani Viander', ""Bruno N'Gotty"", 'Mike Whitlow', 'Gudni Bergsson', 'Colin Hendry', 'Paul Warhurst', 'Dean Holden', 'Nicky Hunt', 'Djibril Diawara', 'Konstantinos Konstantinidis', 'Wayne Buchanan', 'Ricardo Gardner', 'Simon Charlton', 'Leam Richardson', ""Alan O'Hare"", 'Anthony Barness', 'Derek Niven', 'Mario Espartero', 'Gérald Forschelet', 'Stig Töfting', 'David Norris', 'Per Frandsen', 'Nicky Southall', 'Cleveland Taylor', 'Gareth Farrelly', 'Youri Djorkaeff', 'Kevin Nolan', 'Jeff Smith', 'Jonathan Walters', 'Rod Wallace', 'Jermaine Johnson', 'Emanuele Morini', 'Bo Hansen', 'Henrik Pedersen', 'Dean Holdsworth', 'Ian Marshall', 'Fredi Bobic', 'Michael Ricketts', 'Akinori Nishizawa']"
2001,Newcastle United,"['Shay Given', 'Steve Harper', 'John Karelse', ""Andrew O'Brien"", 'Marcelino', 'Aaron Hughes', 'Sylvain Distin', 'David Beharall', 'Steven Caldwell', 'Nikolaos Dabizas', 'Gary Caldwell', 'Robbie Elliott', 'Wayne Quinn', 'Olivier Bernard', 'Warren Barton', 'Andy Griffin', 'Clarence Acuña', 'Brian Kerr', 'Jermaine Jenas', 'Rob Lee', 'Diego Gavilán', 'Jamie McClen', 'Nolberto Solano', 'Kieron Dyer', 'James Coppinger', 'Gary Speed', 'Christian Bassedas', 'Craig Bellamy', 'Laurent Robert', 'Stuart Green', 'Alan Shearer', 'Carl Cort', 'Lomana LuaLua', 'Shola Ameobi', 'Colin McMenamin']"
2001,Derby County,"['Mart Poom', 'Ian Feuer', 'Andy Oakes', 'Patrick Foletti', 'Lee Grant', 'Horacio Carbonari', ""Brian O'Neil"", 'Darryl Powell', 'Bjørn Otto Bragstad', 'Chris Riggott', 'Danny Higginbotham', 'Youl Mawéné', 'Steve Elliott', 'Con Blatsis', 'Ian Evatt', 'Gareth McKeown', 'Luciano Zavagno', 'Paul Boertien', 'Richard Jackson', 'Warren Barton', 'Daniele Daino', 'Lewis Hunt', 'François Grenet', 'Adam Bolder', 'Simo Valakari', 'Pierre Ducrocq', 'Rob Lee', 'Seth Johnson', 'Adam Murray', 'Stefano Eranio', 'Craig Burley', 'Giorgi Kinkladze', 'Malcolm Christie', 'Benny Carbone', 'Deon Burton', 'Fabrizio Ravanelli', 'Lee Morris', 'Gary Twigg', 'Branko Strupar', 'Marvin Robinson', 'Marcus Tudgay']"
2001,Charlton Athletic,"['Dean Kiely', 'Sasa Ilic', 'Ben Roberts', 'Richard Rufus', 'Andy Todd', 'Steve Brown', 'Eddie Youds', 'Jonathan Fortune', 'Jorge Costa', 'Danny Shittu', 'Mark Fish', 'Chris Powell', 'Paul Konchesky', 'Greg Shields', 'Luke Young', 'Radostin Kishishev', 'Mark Kinsella', 'Scott Parker', 'Shaun Newton', 'John Salako', 'Graham Stuart', 'Chris Bart-Williams', 'Claus Jensen', 'Gavin Peacock', 'John Robinson', 'Jason Euell', 'Clive Mendonca', 'Martin Pringle', 'Jonatan Johansson', 'Mathias Svensson', 'Kevin Lisbie', 'Charlie MacDonald', 'Shaun Bartlett']"
2001,FC Fulham,"['Edwin van der Sar', 'Maik Taylor', 'Glyn Thompson', 'Marcus Hahnemann', 'Tom Hutchinson', 'Andy Melville', 'Chris Coleman', 'Kit Symons', 'Zat Knight', 'Alain Goma', 'Abdeslam Ouaddou', 'Mark Hudson', 'Dean Leacock', 'Rufus Brevett', 'Jon Harley', 'Kieran McAnespie', 'Steve Finnan', 'Sean Davis', 'Steed Malbranque', 'Bjarne Goldbaek', 'John Collins', 'Sylvain Legwinski', 'Luís Boa Morte', 'Kevin Betsy', 'Eddie Lewis', 'Paul Trollope', 'Andrejs Stolcers', 'Lee Clark', 'Steve Marlet', 'Barry Hayles', 'Louis Saha', 'Calum Willock', 'Elvis Hammond', 'Luke Cornwall']"
2001,FC Everton,"['Thomas Myhre', 'Steve Simonsen', 'Andrew Pettinger', 'Paul Gerrard', 'Alan Stubbs', 'David Weir', 'Peter Clarke', 'Alessandro Pistone', 'David Unsworth', 'Gary Naysmith', 'Steve Watson', 'Alec Cleland', 'Abel Xavier', 'Tony Hibbert', 'Idan Tal', 'Thomas Gravesen', 'Tobias Linderoth', 'Lee Carsley', 'Scot Gemmill', 'Alex Nyarko', 'Niclas Alexandersson', 'Mark Pembridge', 'Jesper Blomqvist', 'Kevin McLeod', 'Paul Gascoigne', 'David Ginola', 'Danny Cadamarteri', 'Tomasz Radzinski', 'Kevin Campbell', 'Duncan Ferguson', 'Wayne Rooney', 'Joe-Max Moore', 'Nick Chadwick']"
2001,West Ham United,"['David James', 'Shaka Hislop', 'Craig Forrest', 'Stephen Bywater', 'Sven Andersson', 'Tomas Repka', 'Hayden Foxe', 'Christian Dailly', 'Rigobert Song', 'Ian Pearce', 'Ragnvald Soma', 'Shaun Byrne', 'Nigel Winterburn', 'Vladimir Labant', 'Scott Minto', 'Steve Potts', 'Sébastien Schemmel', 'Adam Newton', 'Michael Carrick', 'Steve Lomas', 'Grant McCann', 'Laurent Courtois', 'Don Hutchison', 'John Moncur', 'Joe Cole', 'Trevor Sinclair', 'Richard García', 'Titi Camara', 'Paolo Di Canio', 'Paul Kitson', 'Frédéric Kanouté', 'Svetoslav Todorov', 'Jermain Defoe']"
2001,Manchester United,"['Fabien Barthez', 'Roy Carroll', 'Raimond van der Gouw', 'Jaap Stam', 'Alan Tate', 'Ronny Johnsen', 'Laurent Blanc', 'David May', 'Wes Brown', ""John O'Shea"", 'Paul Tierney', 'Denis Irwin', 'Mikaël Silvestre', 'Lee Roche', 'Mike Clegg', 'Gary Neville', 'Phil Neville', 'Roy Keane', 'Juan Sebastián Verón', 'Nicky Butt', 'Paul Scholes', 'Ronnie Wallwork', 'Quinton Fortune', 'Michael Stewart', 'Darren Fletcher', 'David Beckham', 'Ryan Giggs', 'Luke Chadwick', 'Jimmy Davis', 'Bojan Djordjic', 'Daniel Nardiello', 'Danny Webber', 'Andy Cole', 'Ruud van Nistelrooy', 'Dwight Yorke', 'Ole Gunnar Solskjaer', 'Diego Forlán']"
