Season,Team,Player Names
2021,RasenBallsport Leipzig,"['Péter Gulácsi', 'Josep Martínez', 'Philipp Tschauner', 'Fabian Eutinger', 'Josko Gvardiol', 'Mohamed Simakan', 'Willi Orbán', 'Marcel Halstenberg', 'David Lelle', 'Angeliño', 'Nordi Mukiele', 'Lukas Klostermann', 'Benjamin Henrichs', 'Hugo Novoa', 'Solomon Bonnah', 'Tyler Adams', 'Dominik Szoboszlai', 'Konrad Laimer', 'Amadou Haidara', 'Marcel Sabitzer', 'Ilaix Moriba', 'Kevin Kampl', 'Sidney Raebiger', 'Ben Klefisch', 'Dani Olmo', 'Emil Forsberg', 'Joscha Wosz', 'Mehmet Ibrahimi', 'Fabrice Hartmann', 'Christopher Nkunku', 'André Silva', 'Hee-chan Hwang', 'Yussuf Poulsen', 'Brian Brobbey']"
2021,Bayer 04 Leverkusen,"['Lukas Hradecky', 'Andrey Lunev', 'Lennart Grill', 'Niklas Lomb', 'Maximilian Neutgens', 'Edmond Tapsoba', 'Jonathan Tah', 'Odilon Kossounou', 'Piero Hincapié', 'Panagiotis Retsos', 'Sadik Fofana', 'Wendell', 'Daley Sinkgraven', 'Jeremie Frimpong', 'Timothy Fosu-Mensah', 'Mitchell Weiser', 'Julian Baumgartlinger', 'Kerem Demirbay', 'Exequiel Palacios', 'Robert Andrich', 'Nadiem Amiri', 'Charles Aránguiz', 'Zidan Sertdemir', 'Mitchel Bakker', 'Florian Wirtz', 'Paulinho', 'Moussa Diaby', 'Amine Adli', 'Karim Bellarabi', 'Patrik Schick', 'Sardar Azmoun', 'Lucas Alario', 'Joel Pohjanpalo', 'Emrehan Gedikli', 'Iker Bravo']"
2021,VfL Wolfsburg,"['Koen Casteels', 'Pavao Pervan', 'Philipp Schulze', 'Niklas Klinger', 'Maxence Lacroix', 'Sebastiaan Bornauw', 'John Anthony Brooks', 'Marin Pongracic', 'Micky van de Ven', 'Anselmo García MacNulty', 'Paulo Otávio', 'Jérôme Roussillon', 'Ridle Baku', 'Kevin Mbabu', 'William', 'Jannis Lang', 'Josuha Guilavogui', 'Xaver Schlager', 'Maximilian Arnold', 'Aster Vranckx', 'Yannick Gerhardt', 'Felix Nmecha', 'Gil-Linnart Walther', 'Kevin Paredes', 'Josip Brekalo', 'Dodi Lukébakio', 'Renato Steffen', 'Maximilian Philipp', 'Max Kruse', 'Admir Mehmedi', 'Lukas Nmecha', 'Wout Weghorst', 'Jonas Wind', 'Luca Waldschmidt', 'Omar Marmoush', 'Bartosz Bialek', 'Daniel Ginczek']"
2021,Borussia Mönchengladbach,"['Yann Sommer', 'Tobias Sippel', 'Jan Olschowsky', 'Jonas Kersken', 'Matthias Ginter', 'Nico Elvedi', 'Marvin Friedrich', 'Jordan Beyer', 'Tony Jantschke', 'Tom Gaal', 'Mamadou Doucouré', 'Ramy Bensebaini', 'Luca Netz', 'Keanan Bennetts', 'Joe Scally', 'Stefan Lainer', 'Denis Zakaria', 'Christoph Kramer', 'Florian Neuhaus', 'Manu Koné', 'László Bénes', 'Lars Stindl', 'Conor Noß', 'Torben Müsel', 'Hannes Wolf', 'Mika Schroers', 'Jonas Hofmann', 'Patrick Herrmann', 'Marcus Thuram', 'Alassane Plea', 'Breel Embolo']"
2021,Eintracht Frankfurt,"['Kevin Trapp', 'Diant Ramaj', 'Jens Grahl', 'Jannik Horz', 'Matteo Bignetti', 'Evan Ndicka', 'Tuta', 'Martin Hinteregger', 'Almamy Touré', 'Makoto Hasebe', 'Christopher Lenz', 'Jan Schröder', 'Danny da Costa', 'Timothy Chandler', 'Erik Durm', 'Kristijan Jakic', 'Stefan Ilsanker', 'Djibril Sow', 'Ajdin Hrustic', 'Sebastian Rode', 'Aymen Barkok', 'Ansgar Knauff', 'Filip Kostić', 'Daichi Kamada', 'Jesper Lindstrøm', 'Antonio Foti', 'Jens Petter Hauge', 'Steven Zuber', 'Amin Younes', 'Fabio Blanco', 'Gianluca Schäfer', 'Rafael Borré', 'Sam Lammers', 'Gonçalo Paciência', 'Ragnar Ache', 'Enrique Herrero']"
2021,TSG 1899 Hoffenheim,"['Oliver Baumann', 'Philipp Pentke', 'Luca Philipp', 'Nahuel Noll', 'Chris Richards', 'Kevin Akpoguma', 'Kevin Vogt', 'Ermin Bicakcic', 'Håvard Nordtveit', 'Kasim Adams', 'Benjamin Hübner', 'Fabian Rüth', 'Gabriel Haider', 'Noah König', 'David Raum', 'Marco John', 'Stefan Posch', 'Pavel Kaderabek', 'Justin Che', 'Florian Grillitsch', 'Diadié Samassékou', 'Angelo Stiller', 'Sebastian Rudy', 'Melayro Bogarde', 'Dennis Geiger', 'Umut Tohumcu', 'Mijat Gacinovic', 'Christoph Baumgartner', 'Tom Bischof', 'Jacob Bruun Larsen', 'Bambasé Conté', 'Robert Skov', 'Ihlas Bebou', 'Georginio Rutter', 'Andrej Kramaric', 'Munas Dabbur', 'Sargis Adamyan', 'Maximilian Beier', 'Fisnik Asllani', 'Nick Proschwitz']"
2021,SC Freiburg,"['Mark Flekken', 'Noah Atubolu', 'Benjamin Uphoff', 'Nico Schlotterbeck', 'Philipp Lienhart', 'Keven Schlotterbeck', 'Dominique Heintz', 'Manuel Gulde', 'Kenneth Schmidt', 'Christian Günter', 'Kimberly Ezekwem', 'Hugo Siquet', 'Lukas Kübler', 'Kiliann Sildillia', 'Jonathan Schmid', 'Baptiste Santamaria', 'Yannik Keitel', 'Nicolas Höfler', 'Yannik Engelhardt', 'Maximilian Eggestein', 'Janik Haberer', 'Robert Wagner', 'Woo-yeong Jeong', 'Vincenzo Grifo', 'Noah Weißhaupt', 'Nishan Burkart', 'Roland Sallai', 'Kevin Schade', 'Lucas Höler', 'Ermedin Demirovic', 'Nils Petersen', 'Vincent Vermeij']"
2021,VfB Stuttgart,"['Florian Müller', 'Fabian Bredlow', 'Florian Schock', 'Konstantinos Mavropanos', 'Waldemar Anton', 'Marc Oliver Kempf', 'Hiroki Ito', 'Clinton Mola', 'Matej Maglica', 'Borna Sosa', 'Pascal Stenzel', 'Wataru Endo', 'Atakan Karazor', 'Luca Bazzoli', 'Richard Weil', 'Orel Mangala', 'Enzo Millot', 'Nikolas Nartey', 'Naouirou Ahamada', 'Roberto Massimo', 'Philipp Förster', 'Mateo Klimowicz', 'Erik Thommy', 'Philipp Klement', 'Ömer Beyaz', 'Lilian Egloff', 'Daniel Didavi', 'Chris Führich', 'Darko Churlinov', 'Alexis Tibidi', 'Falko Michel', 'Silas', 'Tanguy Coulibaly', 'Sasa Kalajdzic', 'Tiago Tomás', 'Omar Marmoush', 'Wahid Faghir', 'Mohamed Sankoh', 'Hamadi Al-Ghaddioui']"
2021,Hertha BSC,"['Alexander Schwolow', 'Oliver Christensen', 'Marcel Lotka', 'Nils-Jonathan Körber', 'Rune Jarstein', 'Niklas Stark', 'Jordan Torunarigha', 'Márton Dárdai', 'Marc Oliver Kempf', 'Linus Gechter', 'Dedryck Boyata', 'Christalino Atemona', 'Marlon Morgenstern', 'Cimo Röcker', 'Maximilian Mittelstädt', 'Fredrik Bjørkan', 'Marvin Plattenhardt', 'Deyovaisio Zeefuik', 'Lukas Klünter', 'Peter Pekarik', 'Julian Eitschberger', 'Lucas Tousart', 'Santiago Ascacíbar', 'Jonas Dirkner', 'Suat Serdar', 'Jurgen Ekkelenkamp', 'Vladimir Darida', 'Jonas Michelbrink', 'Julian Albrecht', 'Kevin-Prince Boateng', 'Myziane Maolida', 'Dennis Jastrzembski', 'Anton Kade', 'Dodi Lukébakio', 'Javairô Dilrosun', 'Marco Richter', 'Kelian Nsona', 'Dong-jun Lee', 'Marten Winkler', 'Matheus Cunha', 'Krzysztof Piatek', 'Stevan Jovetic', 'Ishak Belfodil', 'Davie Selke', 'Luca Wollschläger']"
2021,1.FSV Mainz 05,"['Robin Zentner', 'Finn Dahmen', 'Lasse Rieß', 'Moussa Niakhaté', 'Jerry St. Juste', 'Luca Kilian', 'Stefan Bell', 'Alexander Hack', 'David Nemeth', 'Edimilson Fernandes', 'Aarón Martín', 'Anderson Lucoqui', 'Silvan Widmer', 'Daniel Brosinski', 'Dominik Kohr', 'Niklas Tauer', 'Stephan Fürstner', 'Anton Stach', 'Leandro Barreiro', 'Merveille Papela', 'Eniss Shabani', 'Timothé Rupil', 'Jean-Paul Boëtius', 'Jae-sung Lee', 'Kevin Stöger', 'Paul Nebel', 'Kaito Mizuta', 'Delano Burgzorg', 'Ben Bobzien', 'Romario Rösch', 'Jonathan Burkardt', 'Karim Onisiwo', 'Marcus Ingvartsen', 'Ádám Szalai']"
