Season,Team,Player Names
2001,AJ Auxerre,"['Fabien Cool', 'Ronan Le Crom', 'Jérémy Sopalski', 'Jean-Alain Boumsong', 'Philippe Mexès', 'Cyrille Magnier', 'David Recorbet', 'Pedro Reyes', 'Jean-Sébastien Jaurès', 'Éric Assati', 'Johan Radet', 'Frédéric Jay', 'Richard Suriano', 'Jean-Joël Perrier-Doumbé', 'Lassina Diabaté', 'Kuami Agboh', 'Amdy Faye', 'Teemu Tainio', 'Lionel Mathis', 'Pantxi Sirieix', 'Nicolas Marin', 'Yann Lachuer', 'Olivier Kapo', 'David Vandenbossche', 'Pedro Kamatà', 'Khalilou Fadiga', 'Djibril Cissé', 'Piotr Wlodarczyk', 'Hélder Esteves', 'Arnaud Gonzalez']"
2001,FC Paris Saint-Germain,"['Lionel Létizi', 'Jérôme Alonzo', 'Stéphane Gillet', 'Arnaud Decorde', 'Gabriel Heinze', 'Mauricio Pochettino', 'Frédéric Déhu', 'Talal El Karkouri', 'Sylvain Distin', 'Lionel Potillon', 'Francis Llacer', 'Didier Domi', 'Cristóbal Parralo', 'Bernard Mendy', 'Peter Luccin', 'Édouard Cissé', 'Pierre Ducrocq', 'Éric Rabésandratana', 'Aliou Cissé', 'Hocine Ragued', 'Fabrice Abriel', 'Mikel Arteta', 'Hugo Leal', 'Nicolas Fabiano', 'Jay-Jay Okocha', 'Ali Benarbia', 'Selim Benachour', 'Jérôme Leroy', 'Laurent Robert', 'Ronaldinho', 'Agostinho', 'Fabrice Fiorèse', 'Mickaël Madar', 'Aloisio Chulapa', 'Nicolas Anelka', 'Alex Dias', 'Laurent Leroy', 'Kaba Diawara', 'Bartholomew Ogbeche', 'Gaël Hiroux']"
2001,LOSC Lille,"['Grégory Wimbée', 'Eric Allibert', 'Grégory Malicki', 'Laurent Pichon', 'Riad Hammadou', 'Pascal Cygan', 'Abdelilah Fahmi', 'Rafael', 'Johnny Ecker', 'Matthieu Delpierre', 'Sébastien Michalowski', 'Christophe Pignol', 'Grégory Tafforeau', 'Stéphane Pichot', 'Jean Makoun', 'Benoît Cheyrou', ""Sylvain N'Diaye"", ""Fernando D'Amico"", 'Patrick Collot', 'Christophe Landrin', 'Bruno Cheyrou', 'Edvin Murati', 'Philippe Brunel', 'Mile Sterjovski', 'Adékambi Olufadé', 'Mikkel Beck', 'Dagui Bakari', 'Salaheddine Bassir', 'Djezon Boutoille', 'Matt Moussilou']"
2001,FC Girondins Bordeaux,"['Frédéric Roux', 'Ulrich Ramé', 'Mathieu Valverde', 'Arnaud Faget', 'Hervé Alicarte', 'Patrick Leugueun', 'Kodjo Afanou', 'Alain Roche', 'David Sommeil', 'Marc Planus', 'Abdoulaye Barry', 'Jérôme Bonnissel', 'Bruno Basto', 'Benjamin Oliveras', 'David Jemmali', 'François Grenet', 'Lassina Diabaté', 'Ivan Vukomanovic', 'Eduardo Costa', 'Aleksey Smertin', 'Nicolas Sahnoun', 'Paulo Miranda', 'Olivier Auriac', 'Vikash Dhorasoo', 'Laurent Batlles', 'Yksel Osmanovski', 'Sylvain Legwinski', 'Camel Meriem', 'Juan Pablo Francia', 'Hervé Bugnet', 'Aleksey Kosonogov', 'Christian', 'Christophe Dugarry', 'Pauleta', 'Christophe Sanchez']"
2001,ESTAC Troyes,"['Tony Heurtebis', 'Hervé Sekli', 'Eddy Heurlié', 'Stéphane Cassard', 'Édouard Thomas', 'Mehdi Méniri', 'Carl Tourenne', 'Mohamed Bradja', 'Yannick Zambernardi', 'Sekou Berthé', 'Frédéric Danjou', 'Michael Svensson', 'Luciano Zavagno', 'Pascal Renier', 'Olivier Thomas', 'Marc Pfertzel', 'Badile Lubamba', 'David Hamed', 'Frédéric Adam', 'Fabio Celestini', 'Mehdi Leroy', 'Nicolas Bonnal', 'Gharib Amzine', 'Jérôme Rothen', 'Benjamin Nivet', 'Karim Ziani', 'Nick Carle', 'Ibrahima Bangoura', 'Sladjan Djukic', 'Samuel Boutal', 'Farid Ghazi', 'Nordin Jbari', 'Mamadou Niang', 'Nicolas Goussé', 'Rafik Saïfi', 'Patrice Loko', 'Marlin Piana']"
2001,FC Sochaux-Montbéliard,"['Vincent Fernandez', 'Pascal Villechalane', 'Teddy Richert', 'Jean-Baptiste Daguet', ""Erwan Manac'h"", 'Maxence Flachez', 'Niša Saveljić', 'Bernard Maraval', 'Sylvain Monsoreau', 'Patrick Guillou', 'William Quevedo', 'Jérémy Mathieu', 'Jimmy Algérino', 'Jean-Jacques Domoraud', 'Philippe Raschke', 'Omar Daf', 'Fabien Boudarène', 'Benoît Pedretti', 'Adel Chedli', 'Mickaël Isabey', 'Jaouad Zairi', 'Stéphane Crucet', 'Camel Meriem', 'Marcelo Luis Trapasso', 'Mickaël Pagis', 'Anto Drobnjak', 'Pierre-Alain Frau', 'Santos']"
2001,Olympique Marseille,"['Vedran Runje', 'Damien Grégorini', 'Claude Gentile', 'Richard Martini', 'Joseph Yobo', 'Daniel Van Buyten', 'Eduardo Tuzzio', 'Stefano Torrisi', 'Abdoulaye Méïté', 'Frank Leboeuf', 'Zoumana Camara', ""Bruno N'Gotty"", 'Manuel dos Santos', 'Dimas', 'Franck Jurietti', 'Cyril Rool', 'Fabien Laurenti', 'Jérôme Perez', 'Brahim Hemdani', 'Piotr Swierczewski', 'Delfim', 'Alberto Rivera', 'Ibrahim Bá', 'Djamel Belmadi', 'Philippe Brunel', 'Salomon Olembé', 'Karim Dahou', 'Jérôme Leroy', 'André Luiz', 'Fabrice Fernandes', 'Lamine Sakho', 'Dill', 'Wilfried Dalmat', 'Fernandão', 'Ibrahima Bakayoko', 'Cyrille Pouget', 'Pascal Nouma', 'Guillaume Deschamps', 'Jurgen Cavens', 'Alfonso', 'Cyril Chapuis']"
2001,FC Nantes,"['Mickaël Landreau', 'Willy Grondin', 'Sébastien Pauvert', 'Néstor Fabbri', 'Mario Yepes', 'Nicolas Gillet', 'Pascal Delhommeau', 'Mauro Cetto', 'Sylvain Armand', 'Jean-Hugues Ateba', 'Nicolas Laspalles', 'Nicolas Savinaud', 'Yves Deroff', 'Mathieu Berson', 'Jérémy Toulalan', 'Eric Djemba Djemba', 'Loïc Pailleres', 'Charles Devineau', 'Goran Rubil', 'Salomon Olembé', 'Olivier Quint', 'Éric Carrière', 'Stéphane Ziani', ""Shiva N'Zigou"", 'Frédéric Da Rocha', 'Hassan Ahamada', 'Wilfried Dalmat', 'Marama Vahirua', 'Viorel Moldovan', 'Víctor Bonilla', 'Pierre-Yves André', 'Pierre Aristouy', 'Grégory Pujol']"
2001,SC Bastia,"['Jacques Leglib', 'Nicolas Penneteau', 'Ali Boumnijel', 'Fabien Audard', 'Bernard Lambourde', 'Morlaye Soumah', 'Cédric Uras', 'Frédéric Mendy', 'Anthar Yahia', 'Greg Vanney', 'Price Jolibois', 'Christophe Deguerville', 'Demetrius Ferreira', 'Patrick Moreau', 'Pascal Berenguer', 'Cyril Jeunechamp', 'Franck Matingou', 'Paul Essola', 'Michael Essien', 'Sébastien Piocelle', 'Lilian Nalis', 'Nicolas Dieuze', 'Fabrice Jau', 'Stéphane Odet', 'Pierre Deblock', 'Reynald Pedros', 'Damián Manso', 'Patrick Beneforti', 'Jean-Christophe Lamberti', 'Cyril Eboki-Poh', 'Chaouki Ben Saada', 'Pierre Laurent', 'Frédéric Née', 'Benjamin Ajiboye', 'Dan Petersen', 'Tony Vairelles', 'Prince Daye', 'Ousmane Soumah', 'Danijel Popovic', 'Ishmael Addo']"
2001,FC Stade Rennes,"['Fabien Debec', 'Eric Durand', 'Christophe Revel', 'Grégory Malicki', 'Simon Pouplin', 'Boubacar Copa', 'Jacques Faty', 'Sébastien Puygrenier', 'César', 'Dominique Arribagé', 'Lamine Diatta', 'Julien Escudé', 'Grégory Paisley', 'Anthony Réveillère', 'Philippe Delaye', 'Vânder', 'Olivier Echouafni', 'Stéphane Grégoire', ""Amadou Makhtar N'Diaye"", 'Olivier Sorlin', 'Yoann Bigné', 'Étienne Didot', 'Laurent Batlles', 'Christophe Le Roux', 'Jean Félix Dorothée', 'Jocelyn Gourvennec', 'Olivier Monterrubio', 'Fabrice Fernandes', 'Gaël Danic', 'Frédéric Piquionne', 'Luís Fabiano', 'Lucas', 'Cyril Yapi', 'Cyril Chapuis', 'Toifilou Maoulida']"
2001,HSC Montpellier,"['Rémy Vercoutre', 'Jody Viviani', 'Rudy Riou', 'Laurent Pionnier', 'Éric Decroix', 'Franck Silvestre', 'Nenad Dzodic', 'Mansour Assoumani', 'Bruno Carotti', 'Francis Llacer', 'Serge Blanc', 'Cyril Ramond', 'Bill Tchato', 'Bertrand Robert', 'Thierry Gathuessi', 'Pascal Fugier', 'Guillaume Moullec', 'Olivier Sorlin', 'Omar Belbey', 'Marcel Mahouvé', 'Jean-Christophe Rouvière', 'Mickaël Llorente', 'Aliou Cissé', 'Geoffrey Doumeng', 'Paulo Sérgio', 'Fabien Lefèvre', 'Assis', 'Valéry Mézague', 'Fodé Mansaré', 'Cédric Barbosa', 'Habib Bamogo', 'Rui Pataca', 'Abdoulaye Cissé', 'Toifilou Maoulida']"
2001,CS Sedan-Ardennes,"['Nicolas Sachy', 'Patrick Regnault', ""Gilbert Bayiha N'Djema"", 'Luis Satorra', 'Richard Jezierski', 'Eddy Capron', 'Eduardo Oliveira', 'Pascal Pédemonte', 'Dusko Djurisic', 'Pascal Gourville', 'David di Tommaso', 'Michaël Natchimie', 'Stéphane Léoni', 'Jean-Louis Montero', 'Cédric Elzéard', 'Jérôme Frétard', 'Salif Diao', 'Freddy Bourgeois', ""Modeste M'Bami"", 'Ludovic Asuar', 'Patrick Noubissie', 'Madjid Adjaoud', 'Frédéric Brando', 'Philippe Celdran', 'Stéphane Noro', 'Allan Petitjean', ""Moussa N'Diaye"", 'Cedric Mionnet', 'Toni Brogno', ""Pius N'Diefi"", 'Henri Camara', 'Julien Poueys', 'Alexandre Lecomte', 'Laurent Peyrelade']"
