Season,Team,Player Names
2001,FC Schalke 04,"['Oliver Reck', 'Frode Grodås', 'Toni Tapalovic', 'Christofer Heimeroth', 'Aníbal Matellán', 'Yves Eigenrauch', 'Tomasz Hajto', 'Marco van Hoogdalem', 'Tomasz Waldoch', 'Markus Happe', 'Marcel Rozgonyi', 'Sladan Peric', 'Nico Van Kerckhoven', 'Benjamin Koch', 'Sven Kmetsch', 'Niels Oude Kamphuis', 'Jiri Nemec', 'Benjamin Wingerter', 'Krisztián Szóllar', 'Olaf Thon', 'Sven Vermant', 'Sérgio da Silva Pinto', 'Kristijan Djordjevic', 'Jörg Böhme', 'Mike Büskens', 'Filip Trojan', 'Andreas Möller', 'Marc Wilmots', 'Tamás Hajnal', 'Youri Mulder', 'Ebbe Sand', 'Gerald Asamoah', 'Emile Mpenza', 'Victor Agali', 'Mike Hanke']"
2001,Borussia Mönchengladbach,"['Uwe Kamps', 'Bernd Meier', 'Jörg Stiel', 'Michael Melka', 'Otto Fredrikson', 'Steffen Korell', 'Sladjan Asanin', 'Marcelo Pletsch', 'Quido Lanzaat', 'Markus Münch', 'Max Eberl', 'Bernd Korzynietz', 'Markus Hausweiler', 'Peer Kluge', 'Igor Demo', 'Ivo Ulich', 'Jens Bäumer', 'Daniel Felgenhauer', 'Berthil ter Avest', 'Peter Nielsen', 'Stéphane Stassin', 'Lawrence Aidoo', 'Markus Osthoff', 'Benjamin Schüßler', 'Arie van Lent', 'Peter Van Houdt', 'Marcel Witeczek', 'Benjamin Auer', 'Marco Küntzel', 'Marcin Mieciel']"
2001,Bayer 04 Leverkusen,"['Hans Jörg Butt', 'Frank Juric', 'Tom Starke', 'Jens Nowotny', 'Michael Zepek', 'Lúcio', 'Emanuel Pogatetz', 'Mile Bozic', 'Thomas Kleine', 'Diego Placente', 'Boris Zivkovic', 'Frankie Hejduk', 'Zoltan Sebescen', 'Jurica Vranjes', 'Pascal Ojigwe', 'Carsten Ramelow', 'Michael Ballack', 'Thorsten Burkhardt', 'Bernd Schneider', 'Marko Babic', 'Zé Roberto', 'Thorsten Wittek', 'Yildiray Bastürk', 'Marquinhos', 'Anel Dzaka', 'Hüzeyfe Dogan', 'Ulf Kirsten', 'Paulo Rink', 'Dimitar Berbatov', 'Thomas Brdaric', 'Oliver Neuville', 'Markus Daun']"
2001,Hertha BSC,"['Gábor Király', 'Christian Fiedler', 'Tomasz Kuszczak', 'Dick Van Burik', 'Konstantinos Konstantinidis', 'Josip Simunic', 'Sofian Chahed', 'Marko Rehmer', 'Oliver Schröder', 'Denis Lapaczinski', 'Eyjólfur Sverrisson', 'Pál Dárdai', 'Andreas Schmidt', 'René Tretschok', 'Rob Maas', 'Thorben Marx', 'Andreas Neuendorf', 'Roberto Pinto', 'Sebastian Deisler', 'Bart Goor', 'Michael Hartmann', 'Stefan Beinlich', 'Nderim Nedzipi', 'Marcelinho Paraíba', 'Trond Ludvigsen', 'Alex Alves', 'Ali Daei', 'Michael Preetz', 'Sead Zilic', 'Piotr Reiss', 'Joël Tchami']"
2001,VfB Stuttgart,"['Timo Hildebrand', 'Thomas Ernst', 'Adnan Masic', 'Timo Wenzel', 'Rui Marques', 'Marcelo Bordon', 'Fernando Meira', 'Thomas Schneider', 'Jochen Endreß', 'Fabio Morena', 'Alessandro Caruso', 'Michael Rundio', 'Heiko Gerber', 'Bradley Carnell', 'Steffen Kocholl', 'Andreas Hinkel', 'Florian Lechner', 'Silvio Meißner', 'Jens Todt', 'Christian Tiffert', 'Zvonimir Soldo', 'Robert Vujevic', 'Benjamin Adrion', 'Krasimir Balakov', 'Aleksandr Hleb', 'Marvin Braun', 'Jochen Seitz', 'Ionel Ganea', 'Adhemar', 'Kevin Kuranyi', 'Steffen Handschuh', 'Sean Dundee']"
2001,1.FC Kaiserslautern,"['Jens Michelbach', 'Georg Koch', 'Roman Weidenfeller', 'Jens Kern', 'Tim Wiese', 'Thomas Hengen', 'Sebastian Pelzer', 'Petr Gabriel', 'Aleksander Knavs', 'Hany Ramzy', 'Tomasz Klos', 'Jeff Strasser', 'Harry Koch', 'Taribo West', 'Stefan Malz', 'Thomas Drescher', 'Dimitrios Grammozis', 'Thomas Riedl', 'Markus Kullig', 'Torsten Reuter', 'Danko Boskovic', 'Nenad Bjelica', 'Ratinho', 'Andreas Buck', 'Mario Basler', 'Marian Hristov', 'Lincoln', 'Youri Djorkaeff', 'Jörgen Pettersson', 'José Dominguez', 'Silvio Adzic', 'Perica Ognjenovic', 'Vratislav Lokvenc', 'Olaf Marschall', 'Miroslav Klose', 'Michael Mifsud']"
2001,VfL Wolfsburg,"['Claus Reitmaier', 'Sead Ramovic', 'Stefan Lorenz', 'Dusan Petkovic', 'Emeka Ifejiagwa', 'Claus Thomsen', 'Waldemar Kryger', 'Marino Biliskov', 'Stefan Schnoor', 'Maik Franz', 'Michael Habryka', 'Patrick Weiser', 'Tobias Rau', 'Hans Sarpei', 'Gernot Plassnegger', 'Thomas Rytter', 'Krzysztof Nowak', 'Dorinel Munteanu', 'Dietmar Kühbauer', 'Charles Akonnor', 'Miroslav Karhan', 'Frank Greiner', 'Sven Müller', 'Benjamin Siegert', 'Michael Madsen', 'Robson Ponté', 'Martin Petrov', 'Diego Klimowicz', 'Andrzej Juskowiak', 'Tomislav Maric', 'Jürgen Rische', 'Markus Feldhoff', 'Joshua Kennedy']"
2001,SV Werder Bremen,"['Frank Rost', 'Jakub Wierzchowski', 'Pascal Borel', 'Alexander Walke', 'Frank Verlaat', 'Mladen Krstajic', 'Mike Barten', 'Stefan Blank', 'Andree Wiedener', 'Viktor Skrypnyk', 'Ludovic Magnin', 'Paul Stalteri', 'Razundara Tjikuzu', 'Fabian Ernst', 'Dieter Eilts', 'Frank Baumann', 'Ivica Banovic', 'Torsten Frings', 'Simon Rolfes', 'Tim Borowski', 'Holger Wehlage', 'Krisztián Lisztes', 'Andreas Herzog', 'Marco Bode', 'Ivan Klasnic', 'Rade Bogdanovic', 'Roberto Silva', 'Joey Di Iorio', 'Enrico Kern', 'Aílton']"
2001,1.FC Köln,"['Markus Pröll', 'Alexander Bade', 'Vyacheslav Sokolov', 'Carsten Cullmann', 'Moses Sichone', 'Spasoje Bulajic', 'Andrew Sinkala', 'Jens Keller', 'Janusz Dziwior', 'Thomas Cichon', 'Rigobert Song', 'Alexander Voigt', 'Marc Zellweger', 'Jörg Reeb', 'Hanno Balitsch', 'Alassane Ouédraogo', 'Evangelos Nessos', 'Markus Kreuz', 'Christian Springer', 'Marco Reich', 'Georgi Donkov', 'Giovanni Federico', 'Miroslav Baranek', 'Dirk Lottner', 'Christian Timm', 'Matthias Scherz', 'Archil Arveladze', 'Markus Kurth', 'Darko Pivaljevic', 'Massimo Cannizzaro', 'Lilian Laslandes']"
2001,1.FC Nürnberg,"['Darius Kampa', 'Raphael Schäfer', 'Christian Horcher', 'David Bergner', 'Tomasz Kos', 'Marek Nikl', 'Thomas Stehle', 'Stephan Paßlack', 'Andreas Wolf', 'Frank Wiblishauser', 'Nils-Eric Johansson', 'Rajko Tavcar', 'Lars Müller', 'Tony Sanneh', 'Dieter Frey', 'Armin Störzenhofecker', 'Sven Günther', 'Tommy Svindal Larsen', 'Adebowale Ogungbure', 'David Jarolim', 'Stoycho Stoilov', 'Júnior', 'Jacek Krzynowek', 'Stefan Leitl', 'Pavel David', 'Kai Michalke', 'Christian Möckel', 'Martin Driller', 'Marco Villa', 'Bernd Hobsch', 'Louis Gomis', 'Cacau', 'Paulo Rink']"
